created_at,tweet_text,hashtags,name,username,tweet_count
2022-08-04 17:03:59+00:00,"PPL wanting 2 help E KY flood victims

Listen 2 what’s needed Not what U think is

If U can come  2 help orgs that clean 4 free or the world kitchen - U R NEEDED

Donate $ 2 TEAM EASTERN KY FLOOD RELIEF or APPALACHIA RISES

Remember no $ amount is 2 little",,Robin Osgood,ladyroseofky,5
2022-08-04 18:39:39+00:00,RT @bashir_gharwall: 31% of @rashidkhan_19’s target raised in just hours. The earthquake hits Afghanistan in the midst of an already dire h…,,Suhana Shah,SuhanaShah17,5
2022-08-04 19:34:19+00:00,@Travelers Disgusting company! You sent out fake evacuation alerts to people living near a wildfire. How cruel and an  unethical practice to bring chaos into an already scary situation. The McKinney wildfire is only 4 miles away and you decide to tell people to evacuate! Shame on you!,,Lily Anderson,LilysDesk,30
2022-08-04 19:15:27+00:00,RT @JDSHELBURNE: Im excited to perform on @WHAS11 @GreatDayLive on Monday to help raise money for Eastern Kentucky Flood victims! You can d…,,K 92.9 WVLK FM,K929LEX,5
2022-08-04 18:00:25+00:00,"BANGLADESH FLOOD RESPONSE

Our teams in Banlgadesh have been providing emergency relief to those affected by the floods. These life-saving distributions are possible through your donations.

Donate Now. Make A Difference.
01254 698771 | https://t.co/trmcvgqiXE https://t.co/5IzLaVNJbD",,Al-Imdaad Foundation UK,Alimdaad_UK,5
2022-08-04 19:33:54+00:00,@Travelers @CVSHealth Disgusting company! You sent out fake evacuation alerts to people living near a wildfire. How cruel and an  unethical practice to bring chaos into an already scary situation. The McKinney wildfire is only 4 miles away and you decide to tell people to evacuate! Shame on you!,,Lily Anderson,LilysDesk,5
2022-08-04 16:58:55+00:00,"RT @MSF_USA: A 5.9 magnitude earthquake has struck southeastern Afghanistan, killing more than 1,000 people. Our teams set up a 24-hour cli…",,Jackie Rutledge,jackie_jrutle,5
2022-08-04 18:38:48+00:00,"RT @saimaxkhan: Thanks for the nomination @SamaraAfzal.

I’m supporting @rashidkhan_19’s campaign to provide relief to earthquake victims i…",,Suhana Shah,SuhanaShah17,5
2022-08-04 17:35:14+00:00,Fast-moving wildfire in northern California forces residents to evacuate https://t.co/3v7C0uztP1 via @Yahoo,,Linda Vassilion,VassilionLinda,5
2022-08-04 18:37:31+00:00,"RT @rashidkhan_19: A heartfelt thank you to everybody who has donated, spread the word and supported my #BackEvenStronger campaign. It’s be…",['BackEvenStronger'],Suhana Shah,SuhanaShah17,5
2022-08-04 19:33:30+00:00,@Travelers @fleetowner Disgusting company! You sent out fake evacuation alerts to people living near a wildfire. How cruel and an  unethical practice to bring chaos into an already scary situation. The McKinney wildfire is only 4 miles away and you decide to tell people to evacuate! Shame on you!,,Lily Anderson,LilysDesk,5
